"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","informationWithheld","verbatimEventDate","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http://unknown.org/captive","identificationID","lifeStage","occurrenceRemarks","identificationRemarks","sex"
"1","Rana draytonii Baird & Girard, 1852","-121.6746","37.77010","cdc,cdround","gbif","4014968979","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:12:09.240+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-05T19:21:13","28359","NORTH_AMERICA","California","2023"," 1"," 3","2023-01-03","2023-01-05T19:31:25.000+00:00","2023-02-20T17:12:09.240+00:00","https://www.inaturalist.org/observations/145911421","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","coolpapa1","coolpapa1","WGS84","Amphibia","US","United States of America","coolpapa1","145911421","coolpapa1","Coordinate uncertainty increased to 28359m at the request of the observer","2023-01-03 02:44:12-08:00","Observations","4014968979","California, US","https://www.inaturalist.org/observations/145911421","67016","145911421","iNaturalist","02:44:12-08:00","wild","325147110",NA,NA,NA,NA
"2","Rana draytonii Baird & Girard, 1852","-122.7176","38.37038","cdc,cdround","gbif","4015010142","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:13:42.269+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-07T06:02:49","28270","NORTH_AMERICA","California","2023"," 1"," 6","2023-01-06","2023-02-13T19:06:28.000+00:00","2023-02-20T17:13:42.269+00:00","https://www.inaturalist.org/observations/146016022","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","katiebrammer22","katiebrammer22","WGS84","Amphibia","US","United States of America","katiebrammer22","146016022","katiebrammer22","Coordinate uncertainty increased to 28270m to protect threatened taxon","2023-01-06 19:01:42-08:00","Observations","4015010142","California, US","https://www.inaturalist.org/observations/146016022","67016","146016022","iNaturalist","19:01:42-08:00","wild","325484285","Adult",NA,NA,NA
"3","Rana draytonii Baird & Girard, 1852","-120.0931","34.42757","cdc,cdround","gbif","4015246082","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:12:09.196+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-07T06:39:32","28818","NORTH_AMERICA","California","2023"," 1"," 6","2023-01-06","2023-02-02T18:35:06.000+00:00","2023-02-20T17:12:09.196+00:00","https://www.inaturalist.org/observations/146019108","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","iNaturalist research-grade observations","Zack Abbey","Zack Abbey","WGS84","Amphibia","US","United States of America","Zack Abbey","146019108","zabbey","Coordinate uncertainty increased to 28818m at the request of the observer","2023-01-06 20:44:29","Observations","4015246082","Santa Barbara County, US-CA, US","https://www.inaturalist.org/observations/146019108","67016","146019108","iNaturalist","20:44:29-08:00","wild","325488565",NA,"Captured, handled, and released under the authorization of state and federal permits. Note the snack in its mouth. It's a frog eat frog world.",NA,NA
"4","Rana draytonii Baird & Girard, 1852","-121.0383","35.48461","cdc,cdround","gbif","4018184905","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:05:52.721+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-11T21:17:31","28677","NORTH_AMERICA","California","2023"," 1"," 5","2023-01-05","2023-01-15T21:36:06.000+00:00","2023-02-20T17:05:52.721+00:00","https://www.inaturalist.org/observations/146357047","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","ianjamesmadison002","Paul Freed","WGS84","Amphibia","US","United States of America","ianjamesmadison002","146357047","ianjamesmadison002","Coordinate uncertainty increased to 28677m to protect threatened taxon","2023-01-05 09:40:28-08:00","Observations","4018184905","California, US","https://www.inaturalist.org/observations/146357047","67016","146357047","iNaturalist","09:40:28-08:00","wild","326557572",NA,NA,NA,NA
"5","Rana draytonii Baird & Girard, 1852","-120.1070","34.54181","cdc,cdround","gbif","4018113036","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:06:02.310+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-13T06:22:26","28818","NORTH_AMERICA","California","2023"," 1","12","2023-01-12","2023-01-13T23:58:22.000+00:00","2023-02-20T17:06:02.310+00:00","https://www.inaturalist.org/observations/146450164","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","iNaturalist research-grade observations","Zack Abbey","Zack Abbey","WGS84","Amphibia","US","United States of America","Zack Abbey","146450164","zabbey","Coordinate uncertainty increased to 28818m to protect threatened taxon","2023-01-12 20:48:38","Observations","4018113036","Santa Barbara County, US-CA, US","https://www.inaturalist.org/observations/146450164","67016","146450164","iNaturalist","20:48:38-08:00","wild","326853954",NA,"Captured, handled, and relocated under the authorizations of state and federal permits.",NA,NA
"6","Rana draytonii Baird & Girard, 1852","-115.6075","30.80737","cdc,cdround","gbif","4018312117","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:05:51.851+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-13T20:41:38","29304","NORTH_AMERICA","Baja California","2023"," 1","11","2023-01-11","2023-01-17T15:46:27.000+00:00","2023-02-20T17:05:51.851+00:00","https://www.inaturalist.org/observations/146485654","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Diego Maldonado","Diego Maldonado","WGS84","Amphibia","MX","Mexico","Diego Maldonado","146485654","el_maldo","Coordinate uncertainty increased to 29304m to protect threatened taxon","2023/01/11 12:39 PM","Observations","4018312117","Ensenada, MX-BN, MX","https://www.inaturalist.org/observations/146485654","67016","146485654","iNaturalist","12:39:00-08:00","wild","326981210",NA,NA,NA,NA
"7","Rana draytonii Baird & Girard, 1852","-120.0905","34.40088","cdround","gbif","4018508428","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:14:40.498+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-17T13:49:45","28818",NA,"California","2023"," 1","16","2023-01-16","2023-01-20T16:01:07.000+00:00","2023-02-20T17:14:40.498+00:00","https://www.inaturalist.org/observations/146759418","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","iNaturalist research-grade observations","Zack Abbey","Zack Abbey","WGS84","Amphibia","US","United States of America","Zack Abbey","146759418","zabbey","Coordinate uncertainty increased to 28818m to protect threatened taxon","2023/01/16 9:59 PM","Observations","4018508428","Santa Barbara County, US-CA, US","https://www.inaturalist.org/observations/146759418","67016","146759418","iNaturalist","21:59:00-08:00","wild","327820526",NA,"Two adult male CRLF captured, handled, and relocated under the authorizations of state and federal permits.",NA,NA
"8","Rana draytonii Baird & Girard, 1852","-121.8658","37.50667","cdc,cdround","gbif","4022214134","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:06:09.657+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-20T18:10:24","28388","NORTH_AMERICA","California","2023"," 1","12","2023-01-12","2023-01-21T07:11:20.000+00:00","2023-02-20T17:06:09.657+00:00","https://www.inaturalist.org/observations/146943155","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","Jude Magann","Daniel Palmer","WGS84","Amphibia","US","United States of America","Jude Magann","146943155","judemagann","Coordinate uncertainty increased to 28388m at the request of the observer","2023-01-12 23:00:16-08:00","Observations","4022214134","California, US","https://www.inaturalist.org/observations/146943155","67016","146943155","iNaturalist","23:00:16-08:00","wild","328478444",NA,NA,NA,NA
"9","Rana draytonii Baird & Girard, 1852","-122.5133","37.93177","cdc,cdround","gbif","4022007720","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:13:43.899+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-22T05:05:11","28329","NORTH_AMERICA","California","2023"," 1"," 9","2023-01-09","2023-01-29T20:27:35.000+00:00","2023-02-20T17:13:43.899+00:00","https://www.inaturalist.org/observations/147085535","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","oceanlatte","oceanlatte","WGS84","Amphibia","US","United States of America","oceanlatte","147085535","oceanlatte","Coordinate uncertainty increased to 28329m to protect threatened taxon","2023-01-09 14:18:06-08:00","Observations","4022007720","Golden Gate National Recreation Area, US-CA, US","https://www.inaturalist.org/observations/147085535","67016","147085535","iNaturalist","14:18:06-08:00","wild","328800003",NA,NA,NA,NA
"10","Rana draytonii Baird & Girard, 1852","-122.6032","38.28269","cdc,cdround","gbif","4028997583","Rana draytonii Baird & Girard, 1852","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-02-20T12:25:26.648+00:00","2023-02-20T17:13:48.320+00:00","342","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","2426756","1","44","131","952","6746","2422253","2426756","2426756","Rana draytonii Baird & Girard, 1852","Animalia","Chordata","Anura","Ranidae","Rana","Rana draytonii","Rana","draytonii","SPECIES","ACCEPTED","VU","2023-01-26T04:32:06","28270","NORTH_AMERICA","California","2023"," 1","25","2023-01-25","2023-01-26T15:08:21.000+00:00","2023-02-20T17:13:48.320+00:00","https://www.inaturalist.org/observations/147372361","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","iNaturalist research-grade observations","wanderling","wanderling","WGS84","Amphibia","US","United States of America","wanderling","147372361","wanderling","Coordinate uncertainty increased to 28270m to protect threatened taxon","2023-01-25 18:22:43","Observations","4028997583","California, US","https://www.inaturalist.org/observations/147372361","67016","147372361","iNaturalist","18:22:43-08:00","wild","329688786",NA,NA,NA,NA
